customer_id,product_id,ncf_predictions,ncf_predictions1,ncf_predictions2
1066,4,0.000612676,0.000720739,0.000382245
3825,4,0.000724345,0.000897855,0.000506997
1744,4,0.003864318,0.002244204,0.002014637
2542,4,0.000662327,0.000924349,0.000833869
4712,4,0.001177073,0.001155376,0.000932038
217,4,0.007337898,0.003535956,0.008565098
5036,4,0.001053333,0.001028776,0.000649244
293,4,0.001022726,0.001130611,0.001046509
3028,4,0.000690788,0.000777513,0.000329673
3824,4,0.000507712,0.000626445,0.000243932
3670,4,0.004717737,0.003117949,0.002602577
4281,4,0.000708729,0.00127092,0.000766963
2066,4,0.001398504,0.001401454,0.001556367
3218,4,0.000935525,0.001297355,0.001162291
2077,4,0.000813067,0.000596583,0.000315905
4961,4,0.002883822,0.002311796,0.001485109
6085,4,0.001371115,0.001440167,0.001824796
7438,4,0.000952214,0.00114587,0.000459015
4110,4,0.001726091,0.002043486,0.001520097
7479,4,0.000643849,0.00137344,0.000937074
6250,4,0.000701129,0.000564575,0.000351727
4956,4,0.000452012,0.00107798,0.000491887
3494,4,0.000732482,0.000937313,0.000340998
5484,4,0.002807409,0.001326203,0.002482683
4951,4,0.000648618,0.000846833,0.000559598
1837,4,0.001118511,0.001336068,0.000767231
5093,4,0.012529016,0.00603509,0.003858149
6982,4,0.000751048,0.000820667,0.00056529
6703,4,0.000378847,0.000959665,0.000527531
3133,4,0.001483768,0.001347005,0.001017392
263,4,0.002131015,0.001524776,0.001488566
6149,4,0.000955433,0.000989258,0.001180887
581,4,0.001145363,0.000990391,0.000512034
3713,4,0.000762939,0.001112402,0.000769854
723,4,0.001281083,0.001364827,0.001088411
2612,4,0.000531256,0.000820696,0.000531673
1587,4,0.001120001,0.001472503,0.001492858
6564,4,0.002454162,0.001819551,0.001906186
6050,4,0.002304643,0.001987428,0.00195834
194,4,0.005273074,0.002719313,0.002525091
6661,4,0.000486404,0.000738084,0.000337034
3556,4,0.001836866,0.001446128,0.000939757
2275,4,0.007106811,0.00382334,0.003036052
2782,4,0.003850997,0.004742235,0.00373897
7284,4,0.001560718,0.002055198,0.001219899
5107,4,0.002848089,0.002372801,0.001915246
1712,4,0.001434624,0.001439452,0.00131169
5346,4,0.002987325,0.004637033,0.005883336
2959,4,0.001109958,0.002719671,0.001545101
3060,4,0.000776768,0.000707418,0.000434548
6828,4,0.000403732,0.000847518,0.0004915
91,4,0.000728339,0.000591934,0.000482261
7640,4,0.000686348,0.000892967,0.001067132
1980,4,0.003947526,0.003154635,0.005299985
4076,4,0.000938505,0.001006186,0.000698596
5069,4,0.001427174,0.001171261,0.001158118
7483,4,0.001472175,0.00126347,0.000898391
6652,4,0.000759989,0.000903934,0.000497788
1077,4,0.001529694,0.002186358,0.002704084
1581,4,0.000708669,0.001042068,0.000765711
4966,4,0.000699759,0.000852764,0.000227898
5901,4,0.000762433,0.000969589,0.000549227
2773,4,0.001133233,0.001412332,0.002114832
4808,4,0.000588954,0.001183361,0.001285732
4599,4,0.000460416,0.000600785,0.00028792
5487,4,0.000375569,0.00080961,0.000357121
5049,4,0.018763244,0.009190112,0.013210118
1692,4,0.001016855,0.001257271,0.000617802
6283,4,0.002141565,0.001759768,0.001161516
2954,4,0.001218379,0.000899792,0.000593334
1465,4,0.001408279,0.001630962,0.001045227
7325,4,0.010423183,0.00461027,0.003484786
7055,4,0.000744224,0.001085013,0.00057444
4991,4,0.001115114,0.001327723,0.001137614
1503,4,0.001805633,0.001490831,0.001247525
4585,4,0.002027124,0.002484649,0.002310485
5828,4,0.004816264,0.004163683,0.002528966
4755,4,0.00036335,0.000579089,0.00021717
4098,4,0.002507865,0.002224743,0.002499253
1406,4,0.000478745,0.0010539,0.000604004
170,4,0.00107342,0.001233459,0.000811785
4527,4,0.000318527,0.000571519,0.000317663
2342,4,0.000696778,0.00081411,0.000378817
863,4,0.00038743,0.000510126,0.00032118
2999,4,0.001469165,0.001821399,0.000998676
7476,4,0.001245737,0.001487732,0.000615418
6719,4,0.000786364,0.000859261,0.000438839
4868,4,0.00083819,0.000979275,0.000679523
3015,4,0.001092643,0.001095265,0.000626981
3298,4,0.000353545,0.001025796,0.000807196
4323,4,0.002777547,0.002732486,0.002368152
40,4,0.001843244,0.002659082,0.002379268
1906,4,0.001495361,0.00146392,0.001048625
6763,4,0.001565784,0.00146997,0.00146234
3919,4,0.000398099,0.000799328,0.000301063
6864,4,0.000770271,0.000786305,0.000607342
6509,4,0.000410765,0.000740051,0.000352144
2240,4,0.001227051,0.000851184,0.000694543
2168,4,0.000627279,0.000947714,0.000510931
5270,4,0.001179904,0.001422197,0.00114587
6382,4,0.002110601,0.002190799,0.001514524
3557,4,0.0006679,0.000890255,0.000534564
1647,4,0.001821309,0.001226753,0.001112968
5698,4,0.00125891,0.0013071,0.000791758
3229,4,0.001450628,0.001093388,0.001365066
482,4,0.000745654,0.001438946,0.000470817
258,4,0.001411229,0.001736373,0.001217246
7419,4,0.000781596,0.000799418,0.000508487
6847,4,0.000629991,0.000737011,0.000300556
5154,4,0.000512242,0.000732243,0.000320286
7192,4,0.001440525,0.001442403,0.001148701
1059,4,0.001704186,0.001574278,0.00243178
3799,4,0.001070976,0.001806587,0.001064003
6238,4,0.00086993,0.000797808,0.000597566
607,4,0.000887185,0.000984728,0.000643045
4273,4,0.001197457,0.001598358,0.00081113
1711,4,0.005039305,0.002393991,0.001711011
958,4,0.000781566,0.000934213,0.000702918
5941,4,0.000585288,0.000578851,0.000259221
625,4,0.000282168,0.000538975,0.000173688
6053,4,0.000518948,0.000514269,0.000285089
915,4,0.001969248,0.001822442,0.002786577
6253,4,0.000805885,0.000904083,0.000864863
920,4,0.000663221,0.000660628,0.000522614
477,4,0.001812905,0.000817567,0.000680804
647,4,0.001199186,0.001354784,0.00123626
