,tsne1,tsne2,customer_id,cluster
303,2.0102003,1.7059677,303,2
304,0.3068328,0.8121479,304,2
305,-0.73913074,-0.7783944,305,3
306,-0.15202093,-0.045310073,306,3
307,-4.0176525,-0.6390252,307,3
308,3.4308827,0.9760134,308,2
309,-1.5032113,2.3524992,309,1
310,-1.0678538,1.3577325,310,1
311,0.24193399,0.10209298,311,3
312,0.26220208,0.29845688,312,3
313,-1.0215448,-0.41596186,313,3
314,-2.3818326,2.171995,314,1
315,1.3434296,0.98043704,315,2
316,2.3532917,-1.9901444,316,0
317,-2.3048584,-3.092979,317,0
318,-1.2715173,0.98090965,318,3
319,-0.2599062,-0.022453258,319,3
320,-0.18237673,-0.18812177,320,3
321,0.42421272,0.1275689,321,2
322,0.6429011,2.127303,322,1
323,0.084467575,0.48744556,323,3
324,0.9003351,-0.40919018,324,2
325,1.04499,1.1782919,325,2
326,-1.1242735,1.1032368,326,1
327,-0.6398825,-1.7229056,327,0
328,0.61222225,-2.2932951,328,0
329,0.6349606,-0.24802667,329,2
330,-0.45702094,3.7451134,330,1
331,-0.38770762,1.0349822,331,1
332,-0.4286331,3.575178,332,1
333,-2.0647411,0.98863995,333,3
334,-0.31255347,0.32375908,334,3
335,-1.6971945,1.2930115,335,1
336,1.6704724,-3.1218004,336,0
337,0.5612544,-2.4864388,337,0
338,0.9817805,0.043729853,338,2
339,-0.80362904,-1.144617,339,3
340,2.7926815,-2.9838376,340,0
341,0.3026004,-1.477383,341,0
342,2.8024273,-1.854522,342,2
343,0.6188291,3.6806877,343,1
344,0.11646186,0.95489186,344,1
345,2.3585305,2.271815,345,2
346,2.432645,-0.69500166,346,2
347,-2.3856158,-1.9685836,347,3
348,0.54298,1.0839033,348,2
349,-3.1236222,-1.4238663,349,3
350,-0.22150294,0.07885222,350,3
351,-0.042477787,0.16977791,351,3
352,-2.0171006,-0.20909205,352,3
353,-0.62912816,0.333674,353,3
354,-2.1217806,0.5722738,354,3
355,-1.5295321,-1.3478574,355,3
356,-1.0987605,0.080739394,356,3
357,-1.6337516,-2.485435,357,0
358,-1.0210025,0.9057885,358,3
359,0.68765837,0.7466724,359,2
360,-0.4630755,-2.3320813,360,0
361,-0.28769124,0.26425934,361,3
362,0.6059349,-0.26722407,362,2
363,-1.9782225,-0.66653824,363,3
364,0.48840716,-0.021200696,364,2
365,-3.3157752,-0.494262,365,3
366,0.6138713,-1.7738117,366,0
367,-2.0687432,-1.5644305,367,3
368,-2.9522803,-1.1624656,368,3
369,-3.6796057,-0.1779852,369,3
370,2.737396,3.1399775,370,2
371,-0.25354552,0.21600361,371,3
372,-0.34382862,2.0188353,372,1
373,2.000073,-2.830506,373,0
374,-2.3537698,-2.1424158,374,3
375,1.3361216,0.019641632,375,2
376,1.0723349,0.12085707,376,2
377,-0.4047154,0.5728955,377,3
378,1.4346966,-0.07374858,378,2
379,-0.3958768,0.7180217,379,3
380,-2.0647907,-0.14483425,380,3
381,-3.0774682,2.5036836,381,1
382,-0.745537,0.31080705,382,3
383,-1.3641825,-0.01709374,383,3
384,-1.2643499,1.5482026,384,1
385,-0.9662947,-3.2891555,385,0
386,-3.158469,-0.6126748,386,3
387,2.3767645,-0.21092616,387,2
388,0.37062415,0.21709096,388,2
389,1.1805248,1.7270211,389,2
390,0.18906091,2.3058276,390,1
391,1.9026774,0.44388247,391,2
392,3.1017928,0.80083525,392,2
393,1.6981269,-3.4445374,393,0
394,2.4034903,0.21530305,394,2
395,-0.3301521,0.8356558,395,1
396,-2.0487463,2.7144651,396,1
397,0.9453845,-0.26062596,397,2
398,0.48517594,-0.6228753,398,3
399,2.809927,0.77561253,399,2
400,-1.5254713,0.86656743,400,3
401,-0.22794312,-0.63362473,401,3
402,-0.73423904,1.8360385,402,1
403,0.19027822,3.0796041,403,1
404,1.0312425,0.5395062,404,2
405,-3.583061,0.5570481,405,3
406,-0.3423155,-0.11045838,406,3
407,0.2837918,0.0933866,407,3
408,3.0937648,-2.9279854,408,0
409,2.9157531,2.2487595,409,2
410,-1.3278219,-1.0108674,410,3
411,1.458059,-0.08872939,411,2
412,-0.2725963,-1.2098898,412,3
413,0.47461432,1.2716221,413,1
414,0.023626685,0.75504076,414,1
415,2.3344674,-3.1613228,415,0
416,-0.09661838,-1.3912249,416,0
417,2.1205232,0.19162484,417,2
418,0.2672958,-0.33894777,418,3
419,-1.3901889,0.20385645,419,3
420,0.10962065,0.77508503,420,1
421,-3.0563166,-2.595785,421,3
422,-2.9700336,-0.9953274,422,3
423,0.9974011,-3.4175625,423,0
424,2.283489,-0.6960684,424,2
425,0.2611168,-1.0724274,425,0
426,0.6886358,-0.07550036,426,2
427,0.83244926,2.8825324,427,1
428,0.99881893,-1.5571896,428,0
429,1.786239,0.8392846,429,2
430,0.042417496,1.50662,430,1
431,0.15445645,0.036914743,431,3
432,0.041552946,0.25848868,432,3
433,1.0208086,-0.26197505,433,2
