PC1,PC2,customer_id,cluster
-3794.9999999869797,-0.006401589039232908,110,1
-3794.0000000065343,-0.0068245928876256995,111,1
-3792.99999999362,-0.007684124718855752,112,1
-3791.999999984901,-0.007960311634697187,113,1
-3791.000000029398,-0.005211340577671011,114,1
-3789.999999986395,-0.009308340008216143,115,1
-3788.999999994267,-0.008813893963298828,116,1
-3788.000000002056,-0.007922368108976872,117,1
-3786.999999998938,-0.008827621397346368,118,1
-3786.0000000123073,-0.009204341414172217,119,1
-3784.9999999904785,-0.009402405022134592,120,1
-3783.9999999880315,-0.009599149838332832,121,1
-3782.999999983153,-0.007996667180158889,122,1
-3782.000000002184,0.03146623784214142,123,1
-3780.999999988737,-0.009771912034021935,124,1
-3779.9999999982083,-0.006916750019643862,125,1
-3778.9999999927013,-0.009497966858965133,126,1
-3777.9999999950164,-0.009740128772273326,127,1
-3776.9999999900933,-0.009591953038074343,128,1
-3775.9999999920906,-0.009041082906616114,129,1
-3774.999999987277,-0.009809687807268883,130,1
-3773.999999981183,0.040278085383516266,131,1
-3773.000000123122,0.0005157086673488337,132,1
-3772.000000061518,0.09722283588821246,133,1
-3771.0000000022756,-0.008613161542162446,134,1
-3769.999999987831,-0.00860690633798548,135,1
-3769.0000000157856,-0.008309780273366913,136,1
-3767.999999990123,-0.009381325608503528,137,1
-3766.999999977451,0.04078454884853764,138,1
-3765.9999999986417,0.01921401149043078,139,1
-3764.9999999841275,-0.00840124807902994,140,1
-3764.000000018688,-0.00848871059080188,141,1
-3762.9999999954734,-0.007323406997110618,142,1
-3762.0000000943432,0.0497578354683721,143,1
-3760.9999999925435,-0.00969263318226826,144,1
-3759.99999999054,-0.008857436672121062,145,1
-3759.000000017262,0.0016885146678458497,146,1
-3757.999999991381,-0.008857325692987002,147,1
-3756.9999999837855,-0.009371360809048147,148,1
-3756.000000077356,-0.0009030284448068716,149,1
-3754.9999999946363,-0.009869740800775174,150,1
-3754.000000013125,0.018549772469316713,151,1
-3753.0000000134023,-0.006613954483859971,152,1
-3751.9999999965657,0.09794483615740641,153,1
-3750.999999986467,0.012417521275528389,154,1
-3750.0000000189148,-0.007926276370729296,155,1
-3748.9999999935826,-0.007990082915918018,156,1
-3748.0000000249665,-0.002729458794681987,157,1
-3747.000000011204,-0.00872838649716898,158,1
-3745.9999999948955,0.001200593752750662,159,1
-3745.000000000263,-0.00952378013394164,160,1
-3743.999999997344,-0.008811996816857907,161,1
-3742.9999999960582,-0.009048744995726738,162,1
-3741.9999999893807,-0.009622278378612297,163,1
-3741.0000000659134,-0.0028758141028345434,164,1
-3739.9999999932,-0.00956490619929367,165,1
-3739.000000031313,-0.007192590748423788,166,1
-3738.00000001363,-0.009648759530030342,167,1
-3737.000000022064,0.018425837056746656,168,1
-3735.9999999876786,-0.009269114231952634,169,1
-3734.999999994335,-0.009345696731060756,170,1
-3734.000000013671,-0.006958695357379148,171,1
-3733.0000000258647,-0.007563189375309795,172,1
-3731.999999988084,-0.009471985748515342,173,1
-3731.0000000299733,-0.00639612717241039,174,1
-3729.9999999875977,-0.007929682997582234,175,1
-3728.9999999850656,-0.009062826612349147,176,1
-3727.9999999811985,0.0645893896046981,177,1
-3726.999999980256,0.07985248384075072,178,1
-3725.9999999887614,-0.009048505648193433,179,1
-3724.999999996045,-0.009298860735176717,180,1
-3723.9999999880865,-0.009819782586157351,181,1
-3722.999999978489,0.021911209187176196,182,1
-3721.9999999949237,-0.009255658421983032,183,1
-3721.000000013743,-0.008932316323008664,184,1
-3719.999999996841,-0.008280524682342189,185,1
-3718.9999999879496,-0.009603531963202993,186,1
-3718.000000008164,-0.008675763828910086,187,1
-3716.999999989479,-0.009662746054518962,188,1
-3715.9999999914726,-0.008614841084113306,189,1
-3715.0000000127056,-0.006530412371421068,190,1
-3713.999999989129,-0.009636319996871893,191,1
-3712.999999987384,-0.009704395958191656,192,1
-3712.000000009719,-0.0082933077100382,193,1
-3710.9999999986667,-0.008714669290591207,194,1
-3709.999999891847,0.478600056245752,195,1
-3709.000000025977,-0.00802401906342757,196,1
-3708.0000000559216,-0.005564376691524652,197,1
-3706.999999972381,0.10427741545698428,198,1
-3705.999999995377,-0.008795538613415137,199,1
-3705.000000095214,-0.006890912123335293,200,1
-3704.0000000128475,-0.006168173933410399,201,1
-3703.0000000024907,-0.007391441481204411,202,1
-3702.0000000109,-0.0078065521893640796,203,1
-3701.000000014076,-0.007478687072888101,204,1
-3699.9999999968263,-0.00949012838442527,205,1
-3698.999999983461,0.13924164056209495,206,1
-3698.000000000224,-0.0071398603044265044,207,1
-3697.000000006833,-0.008980046435710444,208,1
-3695.9999999922734,-0.009066773657593346,209,1
-3694.9999999928013,-0.009548637149357365,210,1
-3694.0000002200627,0.015375925115093461,211,1
-3692.999999990185,-0.008977706409373459,212,1
-3692.0000000105483,0.027750697568801077,213,1
-3690.999999987872,-0.00914780033365481,214,1
-3690.0000000083483,-0.00707263507710114,215,1
-3688.999999994418,-0.009592663949083096,216,1
-3687.9999999919864,-0.005731857269665952,217,1
-3686.999999976835,0.06165618090582176,218,1
-3685.999999981336,0.016729668453884232,219,1
-3685.000000005647,0.018461472282183502,220,1
-3684.000000000106,-0.007720505948386913,221,1
-3682.9999999971897,-0.006282860850956195,222,1
-3681.999999991321,-0.009520944810076556,223,1
-3680.999999999962,-0.009170349860457963,224,1
-3679.9999999678175,-0.0033445646978705256,225,1
-3678.9999999959005,-0.00944614299487653,226,1
-3677.999999977191,0.02529494640444879,227,1
-3676.9999999900806,-0.007594351670895314,228,1
-3675.999999993448,-0.009424549270506458,229,1
-3674.9999999707466,-0.00684059188692776,230,1
-3673.9999999857278,0.005986332048028751,231,1
-3672.9999999927813,-0.008214490735077887,232,1
-3671.999999990921,-0.009820882671810608,233,1
-3671.000000036998,-0.00519258671669244,234,1
-3670.0000000015084,-0.00862382717637181,235,1
-3669.0000002086745,0.1418372862281185,236,1
-3667.99999999102,-0.009582048662098814,237,1
-3667.000000002738,-0.009121198602945245,238,1
-3666.000000063654,-0.003040024399297386,239,1
-3664.999999987892,-0.009359676301787412,240,1
